file_id	speaker	gender	Welsh	lexeme	vowel	vtype	next_cons	Ctype	dur_vwl	dur_cns	breath_dur_ms	brNORM	preasp_dur_ms	PRE_DUR	PRE_DUR_NORM	preNORM	br	pre	PRE	closure_dur_ms	burst_dur_ms	f0_ofst_rt	jitter	shimmer	max_F0	mean_F0	mean_f1_Hz	mean_f2_Hz	mean_f3_Hz	vwl_intensity_dB	zcr_1	zcr_2	zcr_3	zcr_4	zcr_5	zcr_breath	zcr_preasp	ZCR
George-baban-1	6	M	L2	baban	a	mon	b	lenis	91	402	0	NA	0	0	NA	NA	2no	2no	2no	110	13	-78	0.026	0.159	110	106	574	928	2741	75	1167	1075	933	1100	900	0	0	0
George-gwlyb-1	6	M	L2	gwlyb	y	mon	b	lenis	NA	150	0	NA	0	0	NA	NA	2no	2no	2no	81	59	-12	0.006	0.035	109	105	405	1525	2657	76	850	850	825	850	743	0	0	0
George-pobl-1	6	M	L2	pobl	o	mon	b	lenis	57	291	0	NA	0	0	NA	NA	2no	2no	2no	99	31	-78	0.02	0.076	101	100	489	829	3156	72	1000	1050	900	900	600	0	0	0
George-ruban-1	6	M	L2	ruban	u	mon	b	lenis	NA	404	0	NA	0	0	NA	NA	2no	2no	2no	118	11	-79	0.017	0.175	111	109	407	1634	2721	75	633	725	867	900	533	0	0	0
George-bedydd-1	6	M	L2	bedydd	e	mon	d	lenis	96	441	0	NA	0	0	NA	NA	2no	2no	2no	87	27	-57	0.012	0.086	110	109	485	1522	2475	73	933	975	925	850	733	0	0	0
George-blodyn-1	6	M	L2	blodyn	o	mon	d	lenis	65	360	0	NA	0	0	NA	NA	2no	2no	2no	83	27	-78	0.041	0.046	104	102	467	939	3186	70	850	967	750	800	600	0	0	0
George-bod-1	6	M	L2	bod	o	mon	d	lenis	250	181	0	NA	0	0	NA	NA	2no	2no	2no	154	17	-22	0.015	0.067	106	104	457	818	3176	72	850	920	840	860	800	0	0	0
George-bod-2	6	M	L2	bod	o	mon	d	lenis	140	94	0	NA	0	0	NA	NA	2no	2no	2no	63	21	-53	0.006	0.085	102	101	522	910	2807	77	1080	1200	1240	1217	900	0	0	0
George-budr-1	6	M	L2	budr	u	mon	d	lenis	71	441	0	NA	0	0	NA	NA	2no	2no	2no	90	39	-79	0.011	0.066	112	108	384	1626	2816	72	600	733	867	633	450	0	0	0
George-dadl-1	6	M	L2	dadl	a	mon	d	lenis	98	294	0	NA	0	0	NA	NA	2no	2no	2no	73	40	-78	0.026	0.15	111	105	564	980	3012	75	933	1100	1225	1375	1000	0	0	0
George-gwydr-1	6	M	L2	gwydr	wy	diph	d	lenis	NA	348	0	NA	0	0	NA	NA	2no	2no	2no	88	23	-72	0.013	0.111	114	112	392	1477	2855	74	667	700	767	850	367	0	0	0
George-odl-1	6	M	L2	odl	o	mon	d	lenis	73	217	0	NA	0	0	NA	NA	2no	2no	2no	94	31	-8	0.04	0.138	108	99	476	869	2927	65	850	867	767	1000	700	0	0	0
George-pedwar-1	6	M	L2	pedwar	e	mon	d	lenis	64	476	0	NA	0	0	NA	NA	2no	2no	2no	108	24	-78	0.064	0.064	99	94	473	1469	2459	71	650	1000	950	867	500	0	0	0
George-cwd-1	6	M	L2	cwd	w	mon	d	lenis	204	141	0	NA	0	0	NA	NA	2no	2no	2no	82	49	-36	0.009	0.035	122	111	412	941	3009	77	763	888	900	875	775	0	0	0
George-rwdins-1	6	M	L2	rwdins	w	mon	d	lenis	NA	486	0	NA	0	0	NA	NA	2no	2no	2no	83	31	-70	0.013	0.06	122	116	420	916	3157	71	733	700	800	900	600	0	0	0
George-dagr-1	6	M	L2	dagr	a	mon	g	lenis	126	361	0	NA	0	0	NA	NA	2no	2no	2no	79	28	-80	0.033	0.088	109	103	563	1215	2361	73	960	1160	1280	1000	775	0	0	0
